DatePlayed,VisitorHome,Team,Q1,Q2,Q3,Q4,OT,EQ1,EQ2,EQ3,EQ4,EOG,EndingDigitQ1,EndingDigitQ2,EndingDigitQ3,EndingDigitQ4,EndingDigitFinal
11/1/2021,H,CHI,3,10,0,10,0,3,13,13,23,23,3,3,3,3,3
11/1/2021,V,SF,0,7,0,20,,0,7,7,27,27,0,7,7,7,7
11/1/2021,H,SEA,6,7,14,10,,6,13,27,37,37,6,3,7,7,7
11/1/2021,V,LAC,0,14,10,6,,0,14,24,30,30,0,4,4,0,0
11/1/2021,H,DEN,3,0,7,21,,3,3,10,31,31,3,3,0,1,1
11/1/2021,V,IND,0,20,0,21,,0,20,20,41,41,0,0,0,1,1
11/1/2021,H,DET,7,0,7,7,,7,7,14,21,21,7,7,4,1,1
11/1/2021,V,LV,0,6,0,10,,0,6,6,16,16,0,6,6,6,6
11/1/2021,H,CLE,0,3,3,0,,0,3,6,6,6,0,3,6,6,6
11/1/2021,V,LAR,7,3,0,7,,7,10,10,17,17,7,0,0,7,7
11/1/2021,H,MIA,7,21,0,0,,7,28,28,28,28,7,8,8,8,8
11/1/2021,V,MIN,7,7,14,0,,7,14,28,28,28,7,4,8,8,8
11/1/2021,H,GB,7,7,0,8,,7,14,14,22,22,7,4,4,2,2
11/1/2021,V,NE,0,6,8,7,,0,6,14,21,21,0,6,4,1,1
11/1/2021,H,BUF,7,0,7,10,,7,7,14,24,24,7,7,4,4,4
11/1/2021,V,NYJ,3,6,0,0,,3,9,9,9,9,3,9,9,9,9
11/1/2021,H,KC,14,7,7,7,,14,21,28,35,35,4,1,8,5,5
11/1/2021,V,PIT,7,0,14,7,,7,7,21,28,28,7,7,1,8,8
11/1/2021,H,BAL,7,10,0,7,,7,17,17,24,24,7,7,7,4,4
11/1/2021,V,TEN,0,7,0,13,,0,7,7,20,20,0,7,7,0,0
11/1/2021,H,CIN,3,14,0,14,,3,17,17,31,31,3,7,7,1,1
11/2/2021,V,TB,3,3,9,10,,3,6,15,25,25,3,6,5,5,5
11/2/2021,H,NYG,7,7,3,6,,7,14,17,23,23,7,4,7,3,3
11/5/2021,V,GB,7,14,10,3,,7,21,31,34,34,7,1,1,4,4
11/5/2021,H,SF,3,0,0,14,,3,3,3,17,17,3,3,3,7,7
11/8/2021,V,NO,14,17,0,7,,14,31,31,38,38,4,1,1,8,8
11/8/2021,H,TB,0,0,0,3,,0,0,0,3,3,0,0,0,3,3
11/8/2021,V,MIA,14,10,0,10,,14,24,24,34,34,4,4,4,4,4
11/8/2021,H,ARZ,7,10,14,0,,7,17,31,31,31,7,7,1,1,1
11/8/2021,V,PIT,0,9,0,15,,0,9,9,24,24,0,9,9,4,4
11/8/2021,H,DAL,3,10,6,0,,3,13,19,19,19,3,3,9,9,9
11/8/2021,V,LV,7,7,14,3,,7,14,28,31,31,7,4,8,1,1
11/8/2021,H,LAC,0,17,3,6,,0,17,20,26,26,0,7,0,6,6
11/8/2021,V,BAL,7,0,7,10,,7,7,14,24,24,7,7,4,4,4
11/8/2021,H,IND,7,3,0,0,,7,10,10,10,10,7,0,0,0,0
11/8/2021,V,CAR,7,10,0,14,,7,17,17,31,31,7,7,7,1,1
11/8/2021,H,KC,3,10,7,13,,3,13,20,33,33,3,3,0,3,3
11/8/2021,V,CHI,0,0,0,17,,0,0,0,17,17,0,0,0,7,7
11/8/2021,H,TEN,3,7,7,7,,3,10,17,24,24,3,0,7,4,4
11/8/2021,V,DEN,0,3,3,21,,0,3,6,27,27,0,3,6,7,7
11/8/2021,H,ATL,10,10,7,7,,10,20,27,34,34,0,0,7,4,4
11/8/2021,V,DET,0,10,0,10,,0,10,10,20,20,0,0,0,0,0
11/8/2021,H,MIN,13,7,7,7,,13,20,27,34,34,3,0,7,4,4
11/8/2021,V,HOU,10,10,7,0,,10,20,27,27,27,0,0,7,7,7
11/8/2021,H,JAX,7,9,3,6,,7,16,19,25,25,7,6,9,5,5
11/8/2021,V,NYG,10,10,3,0,,10,20,23,23,23,0,0,3,3,3
11/8/2021,H,WAS,0,3,7,10,,0,3,10,20,20,0,3,0,0,0
11/8/2021,V,SEA,0,10,10,14,,0,10,20,34,34,0,0,0,4,4
11/8/2021,H,BUF,14,10,3,17,,14,24,27,44,44,4,4,7,4,4
11/9/2021,V,NE,7,3,7,13,,7,10,17,30,30,7,0,7,0,0
11/9/2021,H,NYJ,3,17,7,0,,3,20,27,27,27,3,0,7,7,7
11/12/2021,V,IND,3,10,14,7,,3,13,27,34,34,3,3,7,4,4
11/12/2021,H,TEN,7,10,0,0,,7,17,17,17,17,7,7,7,7,7
11/15/2021,V,BAL,0,10,7,0,,0,10,17,17,17,0,0,7,7,7
11/15/2021,H,NE,0,13,10,0,,0,13,23,23,23,0,3,3,3,3
11/15/2021,V,CIN,0,7,0,3,,0,7,7,10,10,0,7,7,0,0
11/15/2021,H,PIT,12,10,7,7,,12,22,29,36,36,2,2,9,6,6
11/15/2021,V,SF,7,3,0,3,,7,10,10,13,13,7,0,0,3,3
11/15/2021,H,NO,0,17,0,10,,0,17,17,27,27,0,7,7,7,7
11/15/2021,V,SEA,7,6,0,3,,7,13,13,16,16,7,3,3,6,6
11/15/2021,H,LAR,10,7,6,0,,10,17,23,23,23,0,7,3,3,3
11/15/2021,V,BUF,7,9,7,7,,7,16,23,30,30,7,6,3,0,0
